,year,geoid,pollutant,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by,sourcetype,regclass,fueltype,roadtype,table
78,2050.0,1017,98.0,246429.78548999995,623957565.4530001,15029747.623299995,48480.548812999994,67256744.495,53451.39,47232.27,17640.945,29581.177,16,,,,,d01017
79,2055.0,1017,98.0,255985.92022000015,644928695.7600001,15535704.1848,49463.528294,69247945.24,54922.57,48808.130000000005,18289.63,30505.057999999997,16,,,,,d01017
80,2060.0,1017,98.0,266634.0865099999,666930110.5059999,16066668.526100004,50506.28097200001,71395688.637,56639.78,50346.47,18879.925,31466.542,16,,,,,d01017
81,2020.0,1019,98.0,180372.39117545,355735861.29139,7362791.407217399,29331.426877873004,31482023.9027489,0.0,0.0,0.0,0.0,16,,,,,d01019
82,2025.0,1019,98.0,168481.49658866,366047946.33489,7576613.9334589,30283.606817029,32666548.4967594,0.0,0.0,0.0,0.0,16,,,,,d01019
83,2030.0,1019,98.0,159253.06152559002,378501574.43637,7836037.6728565,30995.887569380004,33640433.5439791,0.0,0.0,0.0,0.0,16,,,,,d01019
84,2035.0,1019,98.0,154165.73975613198,388076451.31281,8037187.33271394,31582.8280401709,34534382.912124395,0.0,0.0,0.0,0.0,16,,,,,d01019
85,2040.0,1019,98.0,154856.41865064,401059443.4861899,8309534.771865799,32177.424978292,35482565.8588677,0.0,0.0,0.0,0.0,16,,,,,d01019
86,2045.0,1019,98.0,158374.74892999997,415318961.91,8608054.4996,32929.698952,36640721.0558,0.0,0.0,0.0,0.0,16,,,,,d01019
87,2050.0,1019,98.0,163980.26503,429924161.39,8913394.8185,33654.325306,37814313.0632,0.0,0.0,0.0,0.0,16,,,,,d01019
88,2055.0,1019,98.0,170481.37615,444181607.54,9211747.051,34310.905644,38933841.04880001,0.0,0.0,0.0,0.0,16,,,,,d01019
89,2060.0,1019,98.0,177725.81415000002,459114347.96,9524537.896,35009.948368,40141395.0255,0.0,0.0,0.0,0.0,16,,,,,d01019
90,2020.0,1021,98.0,528707.7038731149,922410346.3174974,18422049.994464688,73003.45710536999,102478238.841459,352638.811,26453.7,0.0,94773.133,16,,,,,d01021
91,2025.0,1021,98.0,493719.15678325813,949515915.5321392,18960068.220851537,75387.072234764,106333920.6254878,304017.18700000003,70443.0,15442.345,97475.5468,16,,,,,d01021
92,2030.0,1021,98.0,464965.9926835488,982791857.59924,19627319.490572102,77219.024920824,109504091.9542744,252220.07173,115173.33,34370.14,100440.932933,16,,,,,d01021
93,2035.0,1021,98.0,449193.022845042,1009880798.5350044,20173430.71583393,78788.903040173,112414051.8994015,218958.8005504,145604.55,49716.55,103569.7726376,16,,,,,d01021
94,2040.0,1021,98.0,450861.357262272,1046185139.6138632,20907641.53199451,80422.94505378,115500162.6210587,206146.25,163526.54,59137.41,107202.6,16,,,,,d01021
95,2045.0,1021,98.0,460944.88996000006,1085283690.086,21697081.91970001,82453.61355000001,119270437.571,203532.41,174838.7,64697.65,110766.84,16,,,,,d01021
96,2050.0,1021,98.0,476923.7811800001,1124573512.0239997,22485166.59160001,84374.46567000002,123090598.33,206721.73,182669.64,68226.04,114404.25,16,,,,,d01021
97,2055.0,1021,98.0,495425.9290900001,1162830627.6950002,23250836.523099992,86107.02368,126734679.011,212411.72,188764.23,70734.72,117977.89,16,,,,,d01021
98,2060.0,1021,98.0,516026.5666399998,1203002327.4100003,24054999.04299999,87948.74498,130665571.817,219052.37,194712.99,73017.51999999999,121695.87,16,,,,,d01021
99,2020.0,1023,98.0,114745.34042431,225391076.87341,4664979.9548211,18584.031461898,19946679.040790897,0.0,0.0,0.0,0.0,16,,,,,d01023
100,2025.0,1023,98.0,107170.90487018,231923851.11921895,4800468.9711659,19187.356376237,20697170.8875404,0.0,0.0,0.0,0.0,16,,,,,d01023
101,2030.0,1023,98.0,101294.89257137202,239813956.078597,4964819.8256258005,19638.664481883,21314224.4532532,0.0,0.0,0.0,0.0,16,,,,,d01023
102,2035.0,1023,98.0,98051.964010734,245880993.444892,5092274.79789353,20010.5540917796,21880617.191154297,0.0,0.0,0.0,0.0,16,,,,,d01023
103,2040.0,1023,98.0,98484.68757795998,254106206.781236,5264830.7669037,20387.242384158,22481325.9028862,0.0,0.0,0.0,0.0,16,,,,,d01023
104,2045.0,1023,98.0,100716.24241999997,263141903.38,5453968.6156,20863.902831999996,23215170.4935,0.0,0.0,0.0,0.0,16,,,,,d01023
105,2050.0,1023,98.0,104274.68186,272395108.24,5647429.4357,21323.010737999997,23958729.7237,0.0,0.0,0.0,0.0,16,,,,,d01023
106,2055.0,1023,98.0,108401.22857000002,281428706.62,5836468.6349,21738.987196,24668084.3797,0.0,0.0,0.0,0.0,16,,,,,d01023
107,2060.0,1023,98.0,112999.85747,290890018.36,6034650.046600001,22181.901532,25433191.0825,0.0,0.0,0.0,0.0,16,,,,,d01023
108,2020.0,1025,98.0,208275.15531135435,408707935.7504267,8461670.19032194,33699.476953561,36173768.9107599,0.0,0.0,0.0,0.0,16,,,,,d01025
109,2025.0,1025,98.0,194521.62540540783,420554431.6387007,8707412.25086846,34793.559502200005,37534674.190545,0.0,0.0,0.0,0.0,16,,,,,d01025
110,2030.0,1025,98.0,183853.96644782537,434863355.97138906,9005546.141773133,35612.017251339996,38653738.75150001,0.0,0.0,0.0,0.0,16,,,,,d01025
